"region_id","stock_id","taxon_key","year","catch","score","gapfilled","method"
1,"Euthynnus_lineatus-77",600098,2020,0.752160083861111,0.571086245454545,1,"Mean gapfilled"
1,"Katsuwonus_pelamis-77",600107,2020,1198.04997222222,0.6,0,NA
1,"Scomber_japonicus-77",600117,2020,228.262093861111,0.571086245454545,1,"Mean gapfilled"
1,"Squalus_acanthias-77",600139,2020,42.0840123529412,0.3631293,0,NA
1,"Thunnus_alalunga-77",600142,2020,134.478301944444,0.25,0,NA
1,"Thunnus_albacares-77",600143,2020,473.610460833333,0.805,0,NA
1,"Thunnus_obesus-77",600146,2020,139.891123333333,0.865824,0,NA
1,"Makaira_indica-77",600217,2020,0.249837795111111,0.571086245454545,1,"Mean gapfilled"
1,"Makaira_mazara-77",600218,2020,5.27558670066667,0.5313532,0,NA
1,"Tetrapturus_audax-77",600223,2020,12.2209567191944,0.3364165,0,NA
1,"Xiphias_gladius-77",600226,2020,38.7741381111111,0.9664395,0,NA
1,"Joturus_pichardi-77",600338,2020,0.0902731854166667,0.571086245454545,1,"Mean gapfilled"
1,"Seriola_lalandi-77",600382,2020,0.297914166666667,0.571086245454545,1,"Mean gapfilled"
1,"Selar_crumenophthalmus-77",600387,2020,2.33357825806452,0.571086245454545,1,"Mean gapfilled"
1,"Elagatis_bipinnulata-77",600412,2020,0.0377121428571429,0.571086245454545,1,"Mean gapfilled"
1,"Isurus_oxyrinchus-77",600752,2020,0.919241022222222,0.571086245454545,1,"Mean gapfilled"
1,"Mugil_cephalus-77",600785,2020,9.23694944444444,0.571086245454545,1,"Mean gapfilled"
1,"Prionace_glauca-77",600898,2020,0.064461968,0.662182,0,NA
1,"Lepidocybium_flavobrunneum-77",601042,2020,0.740883283333333,0.571086245454545,1,"Mean gapfilled"
1,"Ruvettus_pretiosus-77",601044,2020,2.87193214285714,0.571086245454545,1,"Mean gapfilled"
1,"Lampris_guttatus-77",601072,2020,12.2233955555556,0.571086245454545,1,"Mean gapfilled"
1,"Megalops_atlanticus-77",601079,2020,2.7488e-06,0.571086245454545,1,"Mean gapfilled"
1,"Anchoa_hepsetus-77",601133,2020,0.003459375,0.571086245454545,1,"Mean gapfilled"
1,"Clupea_pallasii_pallasii-77",601520,2020,0.0374331741935484,0.4723935,0,NA
1,"Alopias_superciliosus-77",602534,2020,0.145729444444444,0.571086245454545,1,"Mean gapfilled"
1,"Alopias_vulpinus-77",602535,2020,2.87266388888889,0.571086245454545,1,"Mean gapfilled"
1,"Tetrapturus_angustirostris-77",603915,2020,0.00450486895,0.571086245454545,1,"Mean gapfilled"
1,"Dosidicus_gigas-77",690206,2020,6.41212603938889,0.571086245454545,1,"Mean gapfilled"
1,"Crassostrea_gigas-77",690283,2020,34.6829091666667,0.571086245454545,1,"Mean gapfilled"
